Travel_From,Travel_To,Travel_Mode,Class,Price
Hyderabad,Mumbai,Bus,Sleeper,9598
Bangalore,Ahmedabad,Flight,Economy,9333
Ahmedabad,Bangalore,Train,First Class,7786
Bangalore,Hyderabad,Flight,Business,6435
Delhi,Chennai,Bus,Non AC,4005
Kolkata,Jaipur,Train,First Class,3509
Pune,Bangalore,Train,First Class,7190
Mumbai,Bangalore,Bus,Non AC,6202
Lucknow,Jaipur,Train,AC 3 Tier,7402
Pune,Kolkata,Bus,AC,3917
Hyderabad,Pune,Train,First Class,2049
Kolkata,Mumbai,Train,Sleeper,2602
Lucknow,Chennai,Train,First Class,4633
Mumbai,Pune,Flight,Business,9739
Mumbai,Lucknow,Flight,Business,4402
Kolkata,Lucknow,Bus,Non AC,1058
Ahmedabad,Pune,Bus,Sleeper,829
Ahmedabad,Pune,Flight,Business,7228
Ahmedabad,Pune,Train,AC 2 Tier,868
Jaipur,Hyderabad,Train,AC 3 Tier,1407
Pune,Lucknow,Train,Sleeper,940
Lucknow,Chennai,Train,Sleeper,9505
Kolkata,Pune,Bus,AC,722
Lucknow,Ahmedabad,Train,AC 3 Tier,4536
Lucknow,Mumbai,Flight,Economy,7917
Jaipur,Pune,Bus,Non AC,7896
Jaipur,Delhi,Flight,Economy,8679
Pune,Mumbai,Bus,AC,8377
Mumbai,Bangalore,Flight,Business,2272
Bangalore,Mumbai,Train,AC 3 Tier,6669
Chennai,Jaipur,Bus,Sleeper,8838
Chennai,Hyderabad,Train,AC 2 Tier,3520
Chennai,Pune,Train,First Class,1092
Ahmedabad,Pune,Flight,Economy,1115
Hyderabad,Chennai,Train,AC 3 Tier,1104
Pune,Ahmedabad,Flight,Economy,4673
Lucknow,Hyderabad,Bus,Non AC,7500
Chennai,Bangalore,Flight,Business,2263
Pune,Bangalore,Flight,Economy,8645
Lucknow,Hyderabad,Train,Sleeper,782
Jaipur,Chennai,Bus,AC,755
Pune,Jaipur,Flight,Economy,6421
Kolkata,Chennai,Bus,AC,934
Lucknow,Hyderabad,Bus,Sleeper,6998
Delhi,Chennai,Bus,AC,2506
Pune,Hyderabad,Bus,Sleeper,8072
Ahmedabad,Mumbai,Flight,Economy,2464
Bangalore,Jaipur,Train,Sleeper,7366
Hyderabad,Pune,Flight,Business,4680
Jaipur,Mumbai,Bus,Non AC,5190
